cntry,variable,n,mean,sd,share_8_10,share_10,weighted_mean,weighted_sd,weighted_share_8_10,weighted_share_10,weak_sd_flag,severe_ceiling_flag
GR,wpestop,1761,8.592844974446336,1.3876627354767064,0.817717206132879,0.31232254400908577,8.595448930779213,1.3660432759825312,0.8206552549338514,0.30886820180574326,False,False
HR,viepol,664,8.42921686746988,2.066274907927268,0.7575301204819277,0.4713855421686747,8.421184918580606,2.0682867602320947,0.7562560406883408,0.4703311912455941,False,True
HR,wpestop,665,8.512781954887219,2.109981068758025,0.7759398496240602,0.5067669172932331,8.534018498419474,2.098409361635322,0.7796644961526689,0.512046946636748,False,False
HU,viepol,1019,8.039254170755642,1.8894885102126744,0.6408243375858685,0.34151128557409227,7.97194840072309,1.9067346344471205,0.6302666729344983,0.32916213640723424,False,False
HU,wpestop,1019,8.276741903827281,1.730904456872739,0.7075564278704612,0.3562315996074583,8.235769745233856,1.7351758560334296,0.6989649234564098,0.34549694164156863,False,False
IE,viepol,1075,7.924651162790697,1.939709692466494,0.6325581395348837,0.2958139534883721,7.972436962406052,1.914294520297445,0.6511606931280473,0.2963624684992486,False,False
IE,wpestop,1075,8.025116279069767,1.8191823578423463,0.6511627906976745,0.2958139534883721,8.084745611569003,1.757746806225123,0.6597789349857274,0.2949453086891344,False,False
IS,viepol,596,7.201342281879195,2.52710979372424,0.5184563758389261,0.24496644295302014,7.11445951277349,2.546873560524491,0.4982822090671193,0.2374841702219696,False,False
IS,wpestop,612,8.781045751633988,1.796823953170972,0.8464052287581699,0.511437908496732,8.737570484133265,1.803174831164955,0.8327133710707211,0.5019097918553708,False,False
IT,viepol,1041,7.467819404418828,1.891065010793173,0.526416906820365,0.18155619596541786,7.490844387667367,1.8576275057687592,0.5251107419902723,0.1855496631796888,False,False
IT,wpestop,1052,7.880228136882129,1.8360251468625512,0.6188212927756654,0.25475285171102663,7.866273163769567,1.8329682213164717,0.6097244314167409,0.2550533503277229,False,False
LT,viepol,822,7.380778588807786,2.2482409693799488,0.5206812652068127,0.26277372262773724,7.237080490177804,2.3261623385918244,0.4969224850648029,0.2540690094142178,False,False
LT,wpestop,849,7.479387514723204,2.2244061327211204,0.5265017667844523,0.2850412249705536,7.379087303802795,2.233416310544246,0.5046929319968353,0.27378152360484515,False,False
LV,viepol,601,7.362728785357737,2.2945315879252326,0.5207986688851913,0.24958402662229617,7.3869036443503955,2.3436992061307054,0.5219977312562575,0.26545491606788546,False,False
LV,wpestop,597,7.666666666666667,2.177780821498733,0.5812395309882747,0.288107202680067,7.675738210580462,2.218226122104906,0.5836921968780759,0.3014870158492814,False,False
NL,viepol,1139,6.530289727831431,2.2356169859570447,0.38366988586479367,0.07901668129938542,6.601875898468013,2.1811415873921054,0.39197526064160104,0.08165695575323903,False,False
NL,wpestop,1123,6.958147818343722,1.9908509425510656,0.42653606411398043,0.10596616206589493,7.01239219285096,1.959324193188353,0.4338491504370234,0.10846046318652709,False,False
NO,viepol,1037,8.114754098360656,1.7390984945206243,0.6904532304725168,0.28351012536162007,8.102076088392806,1.7726101059447439,0.7072793519099071,0.28082289642901626,False,False
NO,wpestop,1032,8.123062015503876,1.8222067829093658,0.6782945736434108,0.312984496124031,8.192449452468704,1.794798625031685,0.6965814167951321,0.32283823017490604,False,False
PL,viepol,1427,7.648913805185704,2.358046386407068,0.5802382620882971,0.3482831114225648,7.627278399809433,2.3693313649978633,0.5777653891683306,0.34580719973394985,False,False
PL,wpestop,1423,7.934645115952214,2.1727312068397913,0.6296556570625439,0.38018271257905834,7.912418574273816,2.185484885669672,0.6246574822526801,0.37845405909693736,False,False
PT,viepol,740,7.831081081081081,2.0100845669656198,0.6027027027027027,0.32972972972972975,7.769850718743172,2.0319886415270476,0.584127943897254,0.32709886799810844,False,False
PT,wpestop,759,7.832674571805007,2.0111003533945775,0.6245059288537549,0.33069828722002637,7.792750854964051,2.043875633746022,0.619367967036163,0.3249622787313383,False,False
SE,viepol,1809,7.009397457158651,2.316356834360037,0.46102819237147596,0.18739635157545606,6.989857230014869,2.333399816654922,0.4537254157616391,0.1907809851840728,False,False
SE,wpestop,1788,7.889261744966443,2.0181151935033887,0.6426174496644296,0.308165548098434,7.824930097451372,2.046212906560893,0.6202034561965911,0.30689234790447906,False,False
SI,viepol,564,8.125886524822695,2.116526384755679,0.7092198581560284,0.3882978723404255,8.151869751667837,2.1020108922273355,0.7128504909337722,0.39615916716352384,False,False
SI,wpestop,560,8.35,1.95906224143896,0.7446428571428572,0.4142857142857143,8.33892938878226,1.9687011024108048,0.7405024380671545,0.41422382890296233,False,False
