cntry,term,term_label,n,populist,non_populist,psu_count,kish_effective_n,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,ame,ame_std_error,ame_low,ame_high,evidence_category,fdr_q_value
DE,distrust_index_three,Representative-political-institution distrust,5397,295,5102,179,4383.182603294664,0.6564848773652792,0.04326474428715892,0.5711070578410479,0.7418626968895105,15.173668264581085,6.524053193071087e-34,178.0,1.9280032413118366,1.7702257093118319,2.099843245387049,0.03256218756150359,0.0023310418266630465,0.027962154170358796,0.03716222095264839,positive_interval_above_zero,7.50266117203175e-33
DE,viepol,People's views should prevail,5397,295,5102,179,4383.182603294664,0.04449270164079082,0.02808323951816757,-0.010926226512900143,0.09991162979448179,1.5843151432728286,0.11489705374124744,178.0,1.0454973462674255,0.9891332478926459,1.1050732582096594,0.0022068744397585323,0.0014014394976148425,-0.0005586994812920628,0.004972448360809127,positive_interval_includes_zero,0.3303290295060864
EE,distrust_index_three,Representative-political-institution distrust,900,120,780,900,856.7379200148123,0.2537103006400806,0.05815927181829934,0.13956654915197078,0.36785405212819045,4.3623362657070395,1.4358426943444112e-05,899.0,1.2887983861133936,1.1497753197445484,1.4446311827405733,0.025854202563701315,0.00579924741004151,0.014472563239572672,0.037235841887829954,positive_interval_above_zero,2.752031830826788e-05
EE,viepol,People's views should prevail,900,120,780,900,856.7379200148123,0.06912953871353217,0.0518317725076619,-0.03259582295857348,0.17085490038563783,1.3337290115500733,0.1826304815195312,899.0,1.0715750106063981,0.9679296955002659,1.186318602161108,0.0070446059640691654,0.005263502277155452,-0.0032855766035140913,0.017374788531652422,positive_interval_includes_zero,0.3957223668087302
ES,distrust_index_three,Representative-political-institution distrust,1371,267,1104,448,1259.5914383678444,0.039962273235230876,0.037626443380068104,-0.03398442033455385,0.11390896680501561,1.0620794751065983,0.2887730719844906,447.0,1.0407715085098292,0.9665865636154853,1.1206501038811587,0.0059761477264414775,0.0056285235812392155,-0.005085506555044063,0.017037802007927018,positive_interval_includes_zero,0.3162752693163468
ES,viepol,People's views should prevail,1371,267,1104,448,1259.5914383678444,0.061077544610694735,0.036883770857661174,-0.011409585617362723,0.1335646748387522,1.6559463197621573,0.09843447971161971,447.0,1.0629813394654806,0.9886552568617151,1.142895180306387,0.009133825476175328,0.005489131504173421,-0.001653883614564377,0.019921534566915033,positive_interval_includes_zero,0.3234275761953219
FI,distrust_index_three,Representative-political-institution distrust,1077,146,931,1077,966.051194916678,0.36054125147058763,0.05627736825355461,0.25011542378930723,0.47096707915186803,6.4065051842187914,2.2217541828842121e-10,1076.0,1.4341054162008777,1.2841736323205428,1.6015422626769291,0.03954635418213521,0.0056595652500504995,0.028441318597718646,0.05065138976655177,positive_interval_above_zero,8.516724367722813e-10
FI,viepol,People's views should prevail,1077,146,931,1077,966.051194916678,0.04277711674998511,0.05367404117600894,-0.06254053767827697,0.14809477117824718,0.7969796164538753,0.42563868956446177,1076.0,1.04370524450769,0.9393749819608261,1.1596227899736462,0.0046920539688187785,0.005887789606712357,-0.006860796861112958,0.016244904798750515,positive_interval_includes_zero,0.6526459906655081
FR,distrust_index_three,Representative-political-institution distrust,795,157,638,287,742.2355988981928,0.2919741398693029,0.04935996046112576,0.1948192626145689,0.38912901712403686,5.915202061380334,9.445533374380288e-09,286.0,1.3390683887079968,1.215091354208027,1.4756949289674945,0.041460606538106334,0.00632480042987554,0.02901154451121929,0.05390966856499338,positive_interval_above_zero,3.103532394439238e-08
FR,viepol,People's views should prevail,795,157,638,287,742.2355988981928,0.11204937079024872,0.049532686734448925,0.014554517576729362,0.2095442240037681,2.2621298818487223,0.024439857102055294,286.0,1.1185680838720746,1.0146609502997679,1.2331159072275286,0.015911117598484664,0.007079690255517009,0.001976211019335353,0.029846024177633976,positive_interval_above_zero,0.14052917833681794
