cntry,term,term_label,n,populist,non_populist,psu_count,kish_effective_n,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,ame,ame_std_error,ame_low,ame_high,evidence_category,fdr_q_value,populist_in_pre_election_government
HU,distrust_index_three,Representative-political-institution distrust,1003,672,331,673,815.627823390354,-0.3941594824735603,0.0404834333164783,-0.4736487203364393,-0.3146702446106814,-9.73631557857821,4.8002674709983774e-21,672.0,0.6742465171630265,0.6227259651183193,0.7300295657658898,-0.0714121242003363,0.0059851115810655,-0.0831638932359319,-0.0596603551647406,negative_interval_below_zero,2.760153795824067e-20,True
IE,distrust_index_three,Representative-political-institution distrust,1041,283,758,470,652.6056117885696,0.3208875608451657,0.0452702879475845,0.2319298610762614,0.4098452606140699,7.088259770220587,5.0185634778147425e-12,469.0,1.3783505916048997,1.261031278349791,1.5065846390929778,0.0543015378783906,0.0066593430437878,0.0412156957950948,0.0673873799616864,positive_interval_above_zero,2.3085391997947817e-11,False
IS,distrust_index_three,Representative-political-institution distrust,589,62,527,487,509.7149952169114,0.3843402362286221,0.074556983670068,0.2378464120543846,0.5308340604028596,5.154986391743216,3.697074877187011e-07,486.0,1.46864504293654,1.268514349349589,1.700349911885504,0.0303490505703971,0.0057178470240625,0.0191142978300649,0.0415838033107294,positive_interval_above_zero,8.503272217530123e-07,False
IT,distrust_index_three,Representative-political-institution distrust,1021,545,476,298,890.9983147472658,0.1862790819953078,0.043357749795435,0.1009517447005076,0.2716064192901079,4.296327251164691,2.3558066229346935e-05,297.0,1.2047584398538864,1.1062232593407566,1.3120704940376542,0.0428566485171398,0.0094382155455291,0.0242823958145887,0.0614309012196909,positive_interval_above_zero,4.167965563653689e-05,False
LV,distrust_index_three,Representative-political-institution distrust,566,29,537,566,476.30545831591814,0.2518194882714992,0.1418899883478457,-0.0268767901549087,0.5305157666979072,1.7747516312014875,0.0764772677445571,565.0,1.2863638125705408,0.973481176600562,1.6998087873351715,0.012122007531791,0.0069863830591118,-0.0016004473144415,0.0258444623780235,positive_interval_includes_zero,0.0925777451644639,False
NL,distrust_index_three,Representative-political-institution distrust,1116,146,970,1116,1020.2271799788526,0.3246903082589757,0.0587720472602185,0.2093740355306685,0.4400065809872829,5.524570325436856,4.1093380494975096e-08,1115.0,1.3836020894839958,1.232906062971166,1.5527174368914187,0.0334644964116824,0.0058651058591663,0.0219566082511517,0.044972384572213,positive_interval_above_zero,1.1814346892305339e-07,False
NO,distrust_index_three,Representative-political-institution distrust,1032,89,943,1032,463.9518113454385,0.3069330405123859,0.0846542391567487,0.1408187711484373,0.4730473098763345,3.625725581728494,0.0003022408192812,1031.0,1.35924995034455,1.1512159955256227,1.60487730772721,0.0276845442818025,0.0070591590221669,0.0138325853607624,0.0415365032028427,positive_interval_above_zero,0.0004965384888192,False
PL,distrust_index_three,Representative-political-institution distrust,1348,564,784,1152,1319.795724451248,-0.5234767624466091,0.0397258903136726,-0.6014200385568693,-0.4455334863363489,-13.17721914633696,4.917760880113639e-37,1151.0,0.5924571303402656,0.5480328554904248,0.6404824962125929,-0.0907624893627926,0.0048589910858799,-0.1002959618874772,-0.0812290168381079,negative_interval_below_zero,1.1310850024261369e-35,True
SE,distrust_index_three,Representative-political-institution distrust,1737,221,1516,1737,1456.065553124765,0.4704755458747477,0.0460462249501226,0.380163637312393,0.5607874544371025,10.217461830679234,7.712820408872842e-24,1736.0,1.6007552447986928,1.4625238933333826,1.7520516180493055,0.0411707641971079,0.0038443008428203,0.0336308160997547,0.0487107122944612,positive_interval_above_zero,5.913162313469179e-23,False
SI,distrust_index_three,Representative-political-institution distrust,555,405,150,262,539.1594024262831,-0.0568658745963815,0.0506539629406238,-0.1566083257745938,0.0428765765818306,-1.1226342677874828,0.2626245009834719,261.0,0.9447207719241586,0.855038889935953,1.043809056418277,-0.0107196048876427,0.0094621861875741,-0.0293515457875001,0.0079123360122146,negative_interval_includes_zero,0.3020181761309927,True
