model,model_label,term,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,term_type
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.FI]",1.4545082188146217,0.20314343685406822,1.0332145162015076,1.8758019214277357,7.160005961007218,3.5367403009652197e-07,22.0,4.282376955258201,2.8100843935922315,6.52605040216725,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.FR]",1.6307667063210598,0.034377265713519865,1.5594726208096106,1.702060791832509,47.43735932668179,1.1837277479813175e-23,22.0,5.1077893920560244,4.75631220350871,5.485239689344602,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.GR]",2.1856203797075135,0.057418614515193665,2.0665414614680904,2.3046992979469367,38.06466593040436,1.418949826332712e-21,22.0,8.896165842550687,7.8974621534857485,10.021164414600495,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.HR]",0.9282765221679251,0.1296520233496362,0.6593946827438508,1.1971583615919994,7.1597534553287785,3.5386942117535683e-07,22.0,2.5301447692958643,1.9336215256060862,3.3106957431023916,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.HU]",3.7241122930158634,0.14199941069242542,3.4296235395225994,4.0186010465091275,26.22625174890614,4.3261235749649824e-18,22.0,41.43443477720532,30.8650211016898,55.62323705045157,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.IE]",2.198855499552268,0.07027303973755031,2.053118135040813,2.344592864063723,31.290171988636953,9.811427456099659e-20,22.0,9.014690276036982,7.792160272963211,10.429025831879136,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.IS]",0.666365738757241,0.11934132037348381,0.418866988546567,0.9138644889679151,5.583696716877446,1.2982510907797585e-05,22.0,1.947148001703805,1.5202381322580019,2.4939417451052854,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.IT]",2.9555769885574126,0.043876736181853684,2.864582207082336,3.046571770032489,67.36091254161619,5.563213595935986e-27,22.0,19.212805091018335,17.54172286583444,21.043080106139897,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.LV]",0.0029237965023493607,0.15574476300473236,-0.32007107296026027,0.325918665964959,0.018773000426733577,0.9851914132425185,22.0,1.0029280749641105,0.7260974293460146,1.3853026920329194,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.NL]",1.0593158394048674,0.15351889349784525,0.7409371407652597,1.3776945380444752,6.900231074292726,6.270435781250497e-07,22.0,2.884396923340228,2.097900621753595,3.9657481985110716,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.NO]",1.014939985754382,0.19687250425401936,0.6066514013711506,1.4232285701376133,5.155316074228587,3.6198650542253484e-05,22.0,2.759197801232715,1.8342788396977525,4.15049900896307,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.PL]",2.4302888896743267,0.15953360728964558,2.0994364380907533,2.7611413412579,15.233711134369008,3.5974992519302537e-13,22.0,11.362164017782407,8.16156906681297,15.817886255712509,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.SE]",0.9215789302555072,0.05705565144683831,0.8032527513481899,1.0399051091628244,16.15228127075527,1.0980254821189139e-13,22.0,2.513255513956201,2.23279184607091,2.828948560317632,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.SI]",3.94892690874322,0.06115176181792372,3.822105916854146,4.075747900632294,64.57584853402834,1.4022068287357844e-26,22.0,51.8796653385028,45.700348187523616,58.894511363260015,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.SK]",3.6249040863458295,0.07878224107092884,3.4615197183597077,3.7882884543319513,46.01169041487756,2.3015169095067855e-23,22.0,37.521124198878525,31.865366117998562,44.180718210938046,country fixed effect
M1,H1 adjusted,distrust_index_three,0.0842802736133854,0.11053363041755127,-0.14495244560723136,0.31351299283400214,0.7624853476268596,0.45386858386319334,22.0,1.087933770211326,0.8650634296987265,1.368223239743749,focal
M1,H1 adjusted,age_decades_50,-0.12092108788578737,0.03660075520125847,-0.1968264083626255,-0.04501576740894926,-3.303786690216427,0.003232899869894442,22.0,0.8861038811646845,0.8213331975129098,0.9559824083486846,control
M2,H2a adjusted,Intercept,-3.790209308710945,0.6393103134678254,-5.116057749845148,-2.464360867576742,-5.928590903143149,5.757680307727134e-06,22.0,0.022590872889749043,0.00599962837096309,0.08506319164546434,intercept
M2,H2a adjusted,"C(gndr, Treatment(reference=1))[T.2.0]",-0.13508719256561488,0.07750917491799642,-0.29583138294350986,0.025656997812280063,-1.742854219626711,0.0953215949190858,22.0,0.8736397334772109,0.7439128538411159,1.02598897165063,control
M2,H2a adjusted,"C(eisced_model, Treatment(reference=4))[T.1.0]",0.1990281205815217,0.2966353591450746,-0.41615596173748653,0.8142122029005299,0.6709521115592413,0.5092346664291306,22.0,1.2202162786087603,0.6595773936258541,2.257396601173398,control
M2,H2a adjusted,"C(eisced_model, Treatment(reference=4))[T.2.0]",0.6102913656909978,0.20373496634544147,0.1877709059968538,1.032811825385142,2.9955160699132146,0.00666349054300725,22.0,1.8409677154762256,1.2065570686957872,2.8089530262246325,control
M2,H2a adjusted,"C(eisced_model, Treatment(reference=4))[T.3.0]",0.5842005190579191,0.12545045112219338,0.32403220711919195,0.8443688309966464,4.656822784071826,0.00012131451784418973,22.0,1.7935564980548238,1.382691838923217,2.326508930738919,control
