cntry,variable,eligible_n,valid_n,missing_share,mean,sd,median,min,max,floor_share_0,ceiling_share_10,upper_share_8_10
DE,votedir,6000,5882,0.019666666666666666,7.28714722883373,2.6192363978888613,8.0,0.0,10.0,0.024141448486909214,0.28034682080924855,0.5625637538252295
EE,viepol,930,911,0.02043010752688172,7.198682766190999,2.2021563905596917,7.0,0.0,10.0,0.008781558726673985,0.20636663007683864,0.4807903402854007
EE,wpestop,930,909,0.02258064516129032,7.382838283828383,2.203514482875478,8.0,0.0,10.0,0.0088008800880088,0.22552255225522552,0.5456545654565457
EE,votedir,930,925,0.005376344086021506,7.914594594594595,2.1091054331933545,8.0,0.0,10.0,0.005405405405405406,0.33297297297297296,0.6464864864864864
ES,viepol,1418,1397,0.014809590973201692,7.7115246957766646,2.255007870493383,8.0,0.0,10.0,0.010021474588403722,0.3235504652827487,0.5977093772369363
ES,wpestop,1418,1382,0.02538787023977433,8.60781476121563,1.9485480958419952,10.0,0.0,10.0,0.00723589001447178,0.5289435600578871,0.7735166425470333
ES,votedir,1418,1399,0.013399153737658674,8.452466047176555,2.0707426104203126,9.0,0.0,10.0,0.008577555396711936,0.4860614724803431,0.7555396711937098
FI,viepol,1099,1082,0.015468607825295723,7.512939001848429,2.0900891309628915,8.0,0.0,10.0,0.010166358595194085,0.15804066543438078,0.621996303142329
FI,wpestop,1099,1082,0.015468607825295723,8.082255083179298,1.6998882527338814,8.0,0.0,10.0,0.0018484288354898336,0.22181146025878004,0.7153419593345656
FI,votedir,1099,1095,0.003639672429481347,7.402739726027397,2.234716890408263,8.0,0.0,10.0,0.0091324200913242,0.16621004566210046,0.5981735159817352
FR,viepol,828,810,0.021739130434782608,7.345679012345679,2.044985387909997,8.0,0.0,10.0,0.0049382716049382715,0.19012345679012346,0.5370370370370371
FR,wpestop,828,820,0.00966183574879227,7.25,2.2617890851469475,8.0,0.0,10.0,0.012195121951219513,0.20853658536585365,0.5170731707317073
FR,votedir,828,822,0.007246376811594203,7.510948905109489,2.154055026472036,8.0,0.0,10.0,0.012165450121654502,0.22506082725060828,0.5924574209245742
GR,viepol,1774,1747,0.015219842164599774,7.979965655409273,1.6949995181466475,8.0,0.0,10.0,0.0005724098454493417,0.21465369204350315,0.6628506010303378
GR,wpestop,1774,1761,0.007328072153325817,8.592844974446336,1.3876627354767064,9.0,3.0,10.0,0.0,0.31232254400908577,0.817717206132879
GR,votedir,1774,1753,0.011837655016910935,7.921277809469481,1.7745564012072197,8.0,0.0,10.0,0.0005704506560182544,0.20079863091842556,0.6657159155733029
HR,viepol,671,664,0.010432190760059613,8.42921686746988,2.066274907927268,9.0,0.0,10.0,0.012048192771084338,0.4713855421686747,0.7575301204819277
HR,wpestop,671,665,0.00894187779433681,8.512781954887219,2.109981068758025,10.0,0.0,10.0,0.015037593984962405,0.5067669172932331,0.7759398496240602
HR,votedir,671,666,0.007451564828614009,8.725225225225225,2.0595335687057617,10.0,0.0,10.0,0.010510510510510511,0.5735735735735735,0.8108108108108109
HU,viepol,1033,1019,0.013552758954501452,8.039254170755642,1.8894885102126744,8.0,0.0,10.0,0.0009813542688910696,0.34151128557409227,0.6408243375858685
HU,wpestop,1033,1019,0.013552758954501452,8.276741903827281,1.730904456872739,8.0,0.0,10.0,0.001962708537782139,0.3562315996074583,0.7075564278704612
HU,votedir,1033,1022,0.010648596321393998,8.08317025440313,1.8312582788387897,8.0,0.0,10.0,0.0019569471624266144,0.3219178082191781,0.6663405088062623
IE,viepol,1092,1075,0.015567765567765568,7.924651162790697,1.939709692466494,8.0,0.0,10.0,0.0027906976744186047,0.2958139534883721,0.6325581395348837
IE,wpestop,1092,1075,0.015567765567765568,8.025116279069767,1.8191823578423463,8.0,0.0,10.0,0.0009302325581395349,0.2958139534883721,0.6511627906976745
IE,votedir,1092,1081,0.010073260073260074,8.153561517113783,1.9013905214242919,8.0,0.0,10.0,0.0027752081406105457,0.35707678075855687,0.6799259944495837
IS,viepol,620,596,0.03870967741935484,7.201342281879195,2.52710979372424,8.0,0.0,10.0,0.03691275167785235,0.24496644295302014,0.5184563758389261
IS,wpestop,620,612,0.012903225806451613,8.781045751633988,1.796823953170972,10.0,0.0,10.0,0.00980392156862745,0.511437908496732,0.8464052287581699
IS,votedir,620,614,0.00967741935483871,7.93485342019544,2.12703952094617,8.0,0.0,10.0,0.008143322475570033,0.31596091205211724,0.6791530944625407
IT,viepol,1064,1041,0.021616541353383457,7.467819404418828,1.891065010793173,8.0,0.0,10.0,0.007684918347742555,0.18155619596541786,0.526416906820365
IT,wpestop,1064,1052,0.011278195488721804,7.880228136882129,1.8360251468625512,8.0,0.0,10.0,0.0076045627376425855,0.25475285171102663,0.6188212927756654
IT,votedir,1064,1058,0.005639097744360902,7.758979206049149,1.8989465031183288,8.0,0.0,10.0,0.007561436672967864,0.2485822306238185,0.5869565217391305
LV,viepol,617,601,0.02593192868719611,7.362728785357737,2.2945315879252326,8.0,0.0,10.0,0.011647254575707155,0.24958402662229617,0.5207986688851913
LV,wpestop,617,597,0.03241491085899514,7.666666666666667,2.177780821498733,8.0,0.0,10.0,0.010050251256281407,0.288107202680067,0.5812395309882747
LV,votedir,617,611,0.009724473257698542,8.207855973813421,2.1149748249967404,9.0,0.0,10.0,0.01309328968903437,0.39279869067103107,0.7184942716857611
NL,viepol,1173,1139,0.028985507246376812,6.530289727831431,2.2356169859570447,7.0,0.0,10.0,0.019315188762071993,0.07901668129938542,0.38366988586479367
NL,wpestop,1173,1123,0.042625745950554135,6.958147818343722,1.9908509425510656,7.0,0.0,10.0,0.008014247551202136,0.10596616206589493,0.42653606411398043
NL,votedir,1173,1155,0.015345268542199489,6.585281385281386,2.4685806908004606,7.0,0.0,10.0,0.024242424242424242,0.11082251082251082,0.42337662337662335
NO,viepol,1051,1037,0.013320647002854425,8.114754098360656,1.7390984945206243,8.0,1.0,10.0,0.0,0.28351012536162007,0.6904532304725168
NO,wpestop,1051,1032,0.01807802093244529,8.123062015503876,1.8222067829093658,8.0,0.0,10.0,0.001937984496124031,0.312984496124031,0.6782945736434108
NO,votedir,1051,1034,0.016175071360608945,8.072533849129593,1.9254146688351113,8.0,0.0,10.0,0.0038684719535783366,0.29206963249516443,0.7011605415860735
PL,viepol,1457,1427,0.02059025394646534,7.648913805185704,2.358046386407068,8.0,0.0,10.0,0.016818500350385426,0.3482831114225648,0.5802382620882971
PL,wpestop,1457,1423,0.023335621139327384,7.934645115952214,2.1727312068397913,8.0,0.0,10.0,0.008432888264230498,0.38018271257905834,0.6296556570625439
PL,votedir,1457,1426,0.02127659574468085,8.61570827489481,1.9882828939604364,10.0,0.0,10.0,0.009817671809256662,0.5329593267882188,0.7791023842917251
SE,viepol,1836,1809,0.014705882352941176,7.009397457158651,2.316356834360037,7.0,0.0,10.0,0.01990049751243781,0.18739635157545606,0.46102819237147596
SE,wpestop,1836,1788,0.026143790849673203,7.889261744966443,2.0181151935033887,8.0,0.0,10.0,0.006711409395973154,0.308165548098434,0.6426174496644296
SE,votedir,1836,1827,0.004901960784313725,7.38752052545156,2.399985791759273,8.0,0.0,10.0,0.014778325123152709,0.2627257799671593,0.5593869731800766
SI,viepol,578,564,0.02422145328719723,8.125886524822695,2.116526384755679,9.0,0.0,10.0,0.008865248226950355,0.3882978723404255,0.7092198581560284
SI,wpestop,578,560,0.031141868512110725,8.35,1.95906224143896,9.0,0.0,10.0,0.005357142857142857,0.4142857142857143,0.7446428571428572
SI,votedir,578,574,0.006920415224913495,8.904181184668989,1.696794002475136,10.0,0.0,10.0,0.008710801393728223,0.5574912891986062,0.8449477351916377
SK,viepol,823,793,0.03645200486026731,7.906683480453972,2.2560509481723785,8.0,0.0,10.0,0.011349306431273645,0.37326607818411095,0.6380832282471627
SK,wpestop,823,793,0.03645200486026731,8.201765447667087,2.0651379757917274,9.0,0.0,10.0,0.006305170239596469,0.416141235813367,0.6935687263556116
SK,votedir,823,798,0.030376670716889428,8.139097744360901,2.177090754549686,9.0,0.0,10.0,0.007518796992481203,0.43609022556390975,0.6616541353383458
